№,Город,Адрес,Площадь м2,Год,Этажей,Жилых помещений
1,Новороссийск,"тер.. Автодорога Юровка-Раевская-Новороссийск, ул. 22-й км, 1 корпус 1",869.4,1978,3,18
2,Новороссийск,"тер.. Автодорога Юровка-Раевская-Новороссийск, ул. 22-й км, 1 корпус 2",870.4,1981,3,18
3,Новороссийск,"тер.. Автодорога Юровка-Раевская-Новороссийск, ул. 22-й км, 1 корпус 3",870.8,1981,3,18
4,Новороссийск,"12-й км., 5",—,—,—,—
5,Новороссийск,"12-й км., 6",692.1,1966,2,17
6,Новороссийск,"ул. Жуковского, 11",452.4,—,2,—
7,Новороссийск,"ул. Лермонтова, 8",168.6,1917,2,9
8,Новороссийск,"ул. Черняховского, 21",9100.5,2013,17,74
9,Новороссийск,"ул. Тихоступа, 17",531.2,1971,2,10
10,Новороссийск,"ш. Сухумское, 1",782.9,1960,2,26
11,Новороссийск,"ул. Хворостянского, 13",4815,1994,10,80
12,Новороссийск,"пр-кт Дзержинского, 174",3236.7,1972,5,54
13,Новороссийск,"ул. Суворовская, 6",426.5,1953,2,8
14,Новороссийск,"ул. Гайдара, 25",3073.7,1972,5,65
15,Новороссийск,"ул. Пионерская, 15",6297.3,1996,10,110
16,Новороссийск,"ул. Пенайская, 7",560.2,1947,2,12
17,Новороссийск,"ш. Анапское, 10",3494.4,1969,5,69
18,Новороссийск,"ул. Аршинцева, 3",428.7,1917,2,7
19,Новороссийск,"ул. Южная, 14",9177.8,2006,17,91
20,Новороссийск,"ул. Гайдара, 27",5127.4,1973,5,93
21,Новороссийск,"ул. Тихоступа, 7",195.2,1886,1,7
22,Новороссийск,"пр-кт Дзержинского, 218",7157.9,1996,10,179
23,Новороссийск,"ул. Волгоградская, 50",4247,1983,9,72
24,Новороссийск,"Литейный пер., 38",6742.5,1989,9,162
25,Новороссийск,"ул. Советов, 68",4939.8,1958,5,67
26,Новороссийск,"ул. Суворовская, 2А",3582.44,1966,5,80
27,Новороссийск,"ул. Свердлова, 16Б",3905.6,1976,5,48
28,Новороссийск,"ул. Гладкова, 18",1286.5,—,1,—
29,Новороссийск,"ул. Энгельса, 80",6683,1983,9,104
30,Новороссийск,"ул. Индустриальная, 5",436.3,1958,2,8
31,Новороссийск,"ул. Суджукская, 80",652.4,—,4,—
32,Новороссийск,"ул. Видова, 214",16993.1,2014,16,304
33,Новороссийск,"ул. Черняховского, 17",8295.5,2013,17,78
34,Новороссийск,"ул. Щорса, 50Б",1195.8,—,5,—
35,Новороссийск,"ул. Золотаревского, 8",4487.9,1981,9,72
36,Новороссийск,"пр-кт Ленина, 7",3177,1963,5,64
37,Новороссийск,"ул. Пенайская, 14",488.9,1941,2,8
38,Новороссийск,"ул. Парк Б, 29",302,1917,1,12
39,Новороссийск,"ул. Корницкого, 24",2337.6,1974,9,34
40,Новороссийск,"ул. Парк Б, 27",859.1,1912,2,27
41,Новороссийск,"пр-кт Ленина, 42",2776.2,1960,4,64
42,Новороссийск,"пр-кт Ленина, 59",7174.1,1982,12,74
43,Новороссийск,"ул. Мефодиевская, 110",7070.5,1993,10,116
44,Новороссийск,"ул. Вербовая, 11А",10423.8,2011,20,135
45,Новороссийск,"ул. Южная, 12",4442.8,2007,9,72
46,Новороссийск,"пр-кт Дзержинского, 197",10856.8,1982,9,160
47,Новороссийск,"ул. Михайлова, 16А",390.7,—,2,—
48,Новороссийск,"ул. Карамзина, 53",8389.5,1986,9,144
49,Новороссийск,"пр-кт Ленина, 13",3218.5,—,5,—
50,Новороссийск,"ул. Леднева, 8",3271.6,1960,5,80
51,Новороссийск,"ул. Суворовская, 8",415,1952,2,8
52,Новороссийск,"ул. Энгельса, 35",1202.9,1955,3,12
53,Новороссийск,"ул. Маркова, 5",449.6,1958,2,8
54,Новороссийск,"ул. Козлова, 72",23408.8,2014,16,278
55,Новороссийск,"ул. Видова, 121",2958.3,1966,6,77
56,Новороссийск,"ул. Шаумяна, 8",154.3,1927,1,3
57,Новороссийск,"ул. Советов, 23",6300.7,1995,5,68
58,Новороссийск,"ул. Молодежная, 26",5096.7,—,10,—
59,Новороссийск,"пр-кт Дзержинского, 158",2891.3,1970,5,56
60,Новороссийск,"пр-кт Ленина, 9",3633.2,1963,5,64
61,Новороссийск,"ул. Днестровская, 2",3876.1,1966,5,88
62,Новороссийск,"ул. Октябрьская, 20А",199.5,1918,2,7
63,Новороссийск,"ул. Лермонтова, 10",174,1901,2,9
64,Новороссийск,"ш. Мысхакское, 56",9373.2,1989,10,164
65,Новороссийск,"ул. Цедрика, 4",1589.1,1960,5,37
66,Новороссийск,"пр-кт Ленина, 71",3116.7,1971,5,60
67,Новороссийск,"пр-кт Ленина, 65",3100.5,1972,5,60
68,Новороссийск,"ул. Видова, 116",3771.9,1979,6,60
69,Новороссийск,"ул. Победы, 20",1534.2,—,3,—
70,Новороссийск,"пр-кт Ленина, 34",3580.5,1964,5,80
71,Новороссийск,"ул. Григорьева, 10",13822.2,2018,16,192
72,Новороссийск,"ул. Прямая, 33",5192.7,1978,5,173
73,Новороссийск,"ул. Молодежная, 24",4638.8,1998,10,80
74,Новороссийск,"ул. Элеваторная, 63",569.2,1961,2,16
75,Новороссийск,"ул. Энгельса, 69А",187.8,1917,1,9
76,Новороссийск,"пр-кт Дзержинского, 216",3591.8,1992,10,76
77,Новороссийск,"ш. Анапское, 66Б",3007.1,1976,5,60
78,Новороссийск,"ул. Вербовая, 17",4817.1,1994,10,80
79,Новороссийск,"ул. Менжинского, 20/22",568.4,1960,2,16
80,Новороссийск,"пр-кт Ленина, 75",4830.3,1969,5,89
81,Новороссийск,"ул. Куникова, 52",6533.5,1981,9,108
82,Новороссийск,"ул. Васенко, 32",278.5,1961,1,7
83,Новороссийск,"ул. Днестровская, 4",3570.5,1967,5,80
84,Новороссийск,"пр-кт Ленина, 22",25447.9,1980,9,384
85,Новороссийск,"ул. Индустриальная, 6",550.7,1960,2,16
86,Новороссийск,"ул. Парк Б, 3",282.3,1954,1,18
87,Новороссийск,"ул. Конституции, 22",4462.1,2011,8,28
88,Новороссийск,"ул. Леженина, 90",4045.7,1965,5,109
89,Новороссийск,"ул. Котанова, 7",21767.4,2021,17,226
90,Новороссийск,"ул. Григорьева, 8",13887.3,2018,16,157
91,Новороссийск,"ул. Молодежная, 6",4199.6,1993,9,72
92,Новороссийск,"ул. Конституции, 14",1243.1,—,2,—
93,Новороссийск,"ул. Парк А, 702",382.9,1917,1,9
94,Новороссийск,"ул. Луначарского, 11",347.6,1958,2,10
95,Новороссийск,"ул. Малоземельская, 4",3043.5,1981,9,32
96,Новороссийск,"ул. Южная, 11",8091.7,2008,16,105
97,Новороссийск,"ул. Тихоступа, 13",312.3,1917,2,9
98,Новороссийск,"ул. Куникова, 64",5234.4,1980,5,89
99,Новороссийск,"пр-кт Ленина, 101",7948.6,2011,18,160
100,Новороссийск,"ул. Конституции, 33",115.8,1917,1,1
