id,name,address,type,levels,latitude,longitude,created_at,updated_at
30888680,Гимназия №1,"Новороссийск, улица Севрюкова 6",school,2,44.7248374,37.7612771,,
30889652,Гимназия №1,"Новороссийск, Малоземельская улица 17",school,3,44.690232,37.769482,,
31090595,Детский дом,"Новороссийск, Волгоградская улица, 6А",school,2,44.6894733,37.7621914,,
31090600,Школа №12,"Новороссийск, Волгоградская улица 6",school,3,44.6879228,37.7646205,,
111683588,МТЛ,"Новороссийск, улица Героев Десантников 29А",school,3,44.68868,37.7845258,,
252503903,МБОУ СОШ №16,"Новороссийск, улица Цемзавод Пролетарий",school,2,44.7318022,37.8140433,,
254098700,Гимназия №20,"Новороссийск, улица Рубина 27",school,3,44.7172629,37.7695957,,
254241526,Детская музыкальная школа №1,"Новороссийск, улица Новороссийской Республики, 14",school,2,44.7179363,37.7773207,,
254305584,ТЭЛ,"Новороссийск, улица Энгельса 52",school,,44.7132265,37.7769967,,
297505323,Школа №40,"Новороссийск, улица Видова 109",school,2,44.7284978,37.7523226,,
3190351,Школа №29,"Новороссийск, Волгоградская улица 46",school,3,44.6848371,37.7740063,,
3959970,Школа №10,"Новороссийск, улица Героев Десантников 13",school,2,44.687635,37.7863527,,
3959971,Школа №11,"Новороссийск, Южная улица 6А",school,2,44.6767197,37.783123,,
1254052073,Гимназия №5,,school,,44.7124936,37.7784449,,
4232950793,Вечерняя средняя школа No1,улица Сакко и Ванцетти 11,school,,44.740975,37.7850376,,
4809314296,Гимназия №6,"Новороссийск, улица Яковлева 27",school,,44.7134663,37.7653182,,
5140646910,Средняя школа №32,,school,,44.7399078,37.7833,,
5140854576,МТЦ,,school,,44.6829057,37.7926357,,
6709923188,школа 18,,school,,44.7437549,37.7668041,,
7127120185,Гимназия № 4,,school,,44.7309933,37.7314645,,
122118899,Школа №27,,school,,44.6583803,37.7610611,,
149044870,Гимназия №8,"Новороссийск, Мысхакское шоссе 21/23",school,,44.7052705,37.7690121,,
253149862,Школа №33,"Новороссийск, улица Героев Десантников, 51А",school,,44.6890562,37.777084,,
253151222,Школа №19,"Новороссийск, улица Героев Десантников 67",school,,44.6894983,37.7720405,,
254305584,ТЭЛ,"Новороссийск, улица Энгельса 52",school,,44.7132726,37.7780342,,
666690285,Школа № 17,,school,,44.74488,37.7731835,,
957208992,Школа № 6,"Новороссийск, улица Мурата Ахеджака",school,,44.6731393,37.7876269,,
